Customer_ID,Customer_Name,Age_Group,Customer_Segment,City_ID
CUST0001,Customer 0001,36-45,Regular,C012
CUST0002,Customer 0002,46-55,Regular,C002
CUST0003,Customer 0003,26-35,Regular,C005
CUST0004,Customer 0004,26-35,Regular,C023
CUST0005,Customer 0005,36-45,Premium,C007
CUST0006,Customer 0006,18-25,Premium,C022
CUST0007,Customer 0007,56+,Premium,C014
CUST0008,Customer 0008,18-25,Regular,C008
CUST0009,Customer 0009,18-25,Premium,C008
CUST0010,Customer 0010,26-35,Regular,C013
CUST0011,Customer 0011,18-25,Budget,C005
CUST0012,Customer 0012,18-25,Regular,C016
CUST0013,Customer 0013,36-45,Regular,C015
CUST0014,Customer 0014,36-45,Regular,C008
CUST0015,Customer 0015,46-55,Regular,C014
CUST0016,Customer 0016,46-55,Budget,C001
CUST0017,Customer 0017,36-45,Premium,C006
CUST0018,Customer 0018,18-25,Regular,C021
CUST0019,Customer 0019,26-35,Premium,C006
CUST0020,Customer 0020,18-25,Premium,C014
CUST0021,Customer 0021,26-35,Regular,C018
CUST0022,Customer 0022,46-55,Regular,C025
CUST0023,Customer 0023,36-45,High Value,C024
CUST0024,Customer 0024,18-25,Regular,C006
CUST0025,Customer 0025,36-45,High Value,C016
CUST0026,Customer 0026,56+,Premium,C008
CUST0027,Customer 0027,26-35,Premium,C004
CUST0028,Customer 0028,26-35,Budget,C021
CUST0029,Customer 0029,56+,High Value,C017
CUST0030,Customer 0030,46-55,Regular,C024
CUST0031,Customer 0031,18-25,Regular,C015
CUST0032,Customer 0032,36-45,Budget,C011
CUST0033,Customer 0033,56+,High Value,C002
CUST0034,Customer 0034,56+,Regular,C011
CUST0035,Customer 0035,26-35,Regular,C005
CUST0036,Customer 0036,26-35,Regular,C009
CUST0037,Customer 0037,56+,Budget,C004
CUST0038,Customer 0038,26-35,Premium,C013
CUST0039,Customer 0039,56+,Premium,C011
CUST0040,Customer 0040,36-45,Regular,C020
CUST0041,Customer 0041,26-35,High Value,C009
CUST0042,Customer 0042,18-25,Regular,C025
CUST0043,Customer 0043,26-35,Regular,C019
CUST0044,Customer 0044,18-25,Premium,C008
CUST0045,Customer 0045,26-35,Premium,C002
CUST0046,Customer 0046,26-35,Budget,C019
CUST0047,Customer 0047,18-25,Premium,C019
CUST0048,Customer 0048,36-45,Regular,C015
CUST0049,Customer 0049,26-35,Regular,C010
CUST0050,Customer 0050,26-35,Budget,C019
CUST0051,Customer 0051,36-45,Regular,C017
CUST0052,Customer 0052,18-25,Premium,C014
CUST0053,Customer 0053,18-25,Budget,C003
CUST0054,Customer 0054,26-35,Regular,C004
CUST0055,Customer 0055,26-35,High Value,C005
CUST0056,Customer 0056,26-35,Budget,C013
CUST0057,Customer 0057,36-45,Regular,C004
CUST0058,Customer 0058,46-55,Premium,C020
CUST0059,Customer 0059,26-35,Regular,C007
CUST0060,Customer 0060,36-45,High Value,C013
CUST0061,Customer 0061,26-35,Premium,C004
CUST0062,Customer 0062,46-55,Premium,C013
CUST0063,Customer 0063,26-35,Regular,C018
CUST0064,Customer 0064,36-45,Regular,C020
CUST0065,Customer 0065,18-25,Regular,C014
CUST0066,Customer 0066,26-35,Regular,C005
CUST0067,Customer 0067,26-35,Premium,C001
CUST0068,Customer 0068,46-55,Premium,C021
CUST0069,Customer 0069,36-45,High Value,C010
CUST0070,Customer 0070,26-35,Premium,C009
CUST0071,Customer 0071,18-25,Regular,C014
