Merchant_ID,Merchant_Name,Merchant_Size,Industry,City_ID,Monthly_UPI_Volume,Small_Merchant_Flag
M001,UrbanMart Mumbai Store 001,Small,Retail,C001,219759.47,False
M002,UrbanMart Delhi Store 002,Medium,Retail,C002,137920.25,False
M003,UrbanMart Bengaluru Store 003,Medium,Retail,C003,426368.89,False
M004,UrbanMart Hyderabad Store 004,Large,Retail,C004,369374.36,False
M005,UrbanMart Chennai Store 005,Medium,Retail,C005,228416.95,False
M006,UrbanMart Kolkata Store 006,Large,Retail,C006,265933.34,False
M007,UrbanMart Pune Store 007,Large,Retail,C007,449031.27,False
M008,UrbanMart Ahmedabad Store 008,Medium,Retail,C008,377242.29,False
M009,UrbanMart Jaipur Store 009,Small,Retail,C009,105887.8,False
M010,UrbanMart Lucknow Store 010,Large,Retail,C010,275997.01,False
M011,UrbanMart Chandigarh Store 011,Enterprise,Retail,C011,287346.75,False
M012,UrbanMart Indore Store 012,Medium,Retail,C012,369015.67,False
M013,UrbanMart Kochi Store 013,Small,Retail,C013,82475.93,True
M014,UrbanMart Coimbatore Store 014,Medium,Retail,C014,406048.85,False
M015,UrbanMart Bhubaneswar Store 015,Small,Retail,C015,76665.69,True
M016,UrbanMart Guwahati Store 016,Large,Retail,C016,104442.93,False
M017,UrbanMart Patna Store 017,Small,Retail,C017,43288.17,True
M018,UrbanMart Nagpur Store 018,Enterprise,Retail,C018,443530.5,False
M019,UrbanMart Surat Store 019,Small,Retail,C019,50597.96,True
M020,UrbanMart Bhopal Store 020,Small,Retail,C020,150499.75,False
M021,UrbanMart Kanpur Store 021,Small,Retail,C021,48278.74,True
M022,UrbanMart Visakhapatnam Store 022,Medium,Retail,C022,355014.76,False
M023,UrbanMart Vadodara Store 023,Medium,Retail,C023,380648.06,False
M024,UrbanMart Ranchi Store 024,Large,Retail,C024,174697.69,False
M025,UrbanMart Mysuru Store 025,Medium,Retail,C025,318967.6,False
M026,UrbanMart Mumbai Store 026,Enterprise,Retail,C001,184530.59,False
M027,UrbanMart Delhi Store 027,Large,Retail,C002,174453.22,False
M028,UrbanMart Bengaluru Store 028,Large,Retail,C003,245886.86,False
M029,UrbanMart Hyderabad Store 029,Medium,Retail,C004,263103.09,False
M030,UrbanMart Chennai Store 030,Large,Retail,C005,406139.76,False
M031,UrbanMart Kolkata Store 031,Medium,Retail,C006,326606.01,False
M032,UrbanMart Pune Store 032,Medium,Retail,C007,301937.76,False
M033,UrbanMart Ahmedabad Store 033,Small,Retail,C008,52409.41,True
M034,UrbanMart Jaipur Store 034,Large,Retail,C009,118358.92,False
M035,UrbanMart Lucknow Store 035,Medium,Retail,C010,414851.09,False
M036,UrbanMart Chandigarh Store 036,Medium,Retail,C011,376935.05,False
M037,UrbanMart Indore Store 037,Medium,Retail,C012,143370.78,False
M038,UrbanMart Kochi Store 038,Medium,Retail,C013,118210.55,False
M039,UrbanMart Coimbatore Store 039,Small,Retail,C014,61305.23,True
M040,UrbanMart Bhubaneswar Store 040,Large,Retail,C015,392056.14,False
M041,UrbanMart Guwahati Store 041,Large,Retail,C016,130322.47,False
M042,UrbanMart Patna Store 042,Large,Retail,C017,182371.91,False
M043,UrbanMart Nagpur Store 043,Enterprise,Retail,C018,351255.57,False
M044,UrbanMart Surat Store 044,Large,Retail,C019,334526.26,False
M045,UrbanMart Bhopal Store 045,Small,Retail,C020,33139.24,True
M046,UrbanMart Kanpur Store 046,Medium,Retail,C021,243528.72,False
M047,UrbanMart Visakhapatnam Store 047,Medium,Retail,C022,388494.24,False
M048,UrbanMart Vadodara Store 048,Small,Retail,C023,61814.47,True
M049,UrbanMart Ranchi Store 049,Medium,Retail,C024,391305.91,False
M050,UrbanMart Mysuru Store 050,Small,Retail,C025,271277.5,False
M051,UrbanMart Mumbai Store 051,Large,Retail,C001,389812.09,False
M052,UrbanMart Delhi Store 052,Small,Retail,C002,31810.23,True
M053,UrbanMart Bengaluru Store 053,Medium,Retail,C003,362265.89,False
M054,UrbanMart Hyderabad Store 054,Small,Retail,C004,45933.11,True
M055,UrbanMart Chennai Store 055,Medium,Retail,C005,404717.09,False
M056,UrbanMart Kolkata Store 056,Small,Retail,C006,395661.92,False
M057,UrbanMart Pune Store 057,Large,Retail,C007,388442.15,False
