Transaction_ID,Transaction_Date,Date_Key,Merchant_ID,Customer_ID,Product_ID,City_ID,Payment_ID,Payment_Method,UPI_Type,Quantity,Gross_Sales_Amount,Discount,Transaction_Amount,Cost_of_Goods,Gross_Profit,Transaction_Status
TXN000001,2026-05-03,20260503,M026,CUST0232,P023,C001,PAY001,UPI,P2M,1,4061.91,0.0,4061.91,2660,1401.91,Success
TXN000002,2026-08-28,20260828,M092,CUST0496,P017,C017,PAY004,Debit Card,,3,69085.92,3454.3,65631.63,54510,11121.63,Success
TXN000003,2026-05-13,20260513,M015,CUST0165,P002,C015,PAY001,UPI,P2M,1,20924.65,0.0,20924.65,17660,3264.65,Success
TXN000004,2026-05-10,20260510,M030,CUST0463,P035,C005,PAY001,UPI,P2M,1,403.54,0.0,403.54,250,153.54,Success
TXN000005,2026-07-09,20260709,M035,CUST0022,P020,C010,PAY004,Debit Card,,1,20064.03,0.0,20064.03,15240,4824.03,Success
TXN000006,2026-05-07,20260507,M093,CUST0183,P015,C018,PAY003,Credit Card,,1,5412.53,433.0,4979.53,4420,559.53,Success
TXN000007,2026-04-05,20260405,M003,CUST0434,P019,C003,PAY004,Debit Card,,1,15645.24,782.26,14862.98,12020,2842.98,Success
TXN000008,2026-06-22,20260622,M013,CUST0281,P019,C013,PAY001,UPI,P2M,1,16036.01,0.0,16036.01,12020,4016.01,Success
TXN000009,2026-05-15,20260515,M035,CUST0247,P005,C010,PAY001,UPI,P2M,1,49456.77,0.0,49456.77,33600,15856.77,Success
TXN000010,2026-07-31,20260731,M033,CUST0305,P043,C008,PAY004,Debit Card,,1,838.14,0.0,838.14,560,278.14,Success
TXN000011,2026-09-25,20260925,M018,CUST0118,P024,C018,PAY003,Credit Card,,1,3769.59,75.39,3694.2,2390,1304.2,Success
TXN000012,2026-08-28,20260828,M097,CUST0113,P037,C022,PAY001,UPI,P2M,1,1308.0,0.0,1308.0,760,548.0,Success
TXN000013,2026-07-08,20260708,M047,CUST0334,P034,C022,PAY001,UPI,P2M,1,486.56,0.0,486.56,370,116.56,Success
TXN000014,2026-04-28,20260428,M038,CUST0192,P043,C013,PAY001,UPI,P2M,1,872.85,0.0,872.85,560,312.85,Success
TXN000015,2026-09-19,20260919,M067,CUST0312,P009,C017,PAY001,UPI,P2M,1,42710.85,0.0,42710.85,33370,9340.85,Success
TXN000016,2026-09-17,20260917,M092,CUST0058,P030,C017,PAY001,UPI,P2M,1,3680.52,184.03,3496.49,3270,226.49,Success
TXN000017,2026-05-28,20260528,M036,CUST0287,P050,C011,PAY001,UPI,P2M,2,132989.78,6649.49,126340.29,115340,11000.29,Success
TXN000018,2026-06-28,20260628,M032,CUST0292,P012,C007,PAY001,UPI,P2M,2,3818.62,305.49,3513.13,3200,313.13,Success
TXN000019,2026-04-12,20260412,M084,CUST0280,P050,C009,PAY001,UPI,P2M,2,131275.93,0.0,131275.93,115340,15935.93,Success
TXN000020,2026-08-21,20260821,M079,CUST0100,P020,C004,PAY004,Debit Card,,2,40564.02,811.28,39752.74,30480,9272.74,Success
TXN000021,2026-05-10,20260510,M026,CUST0135,P026,C001,PAY001,UPI,P2M,1,1758.67,140.69,1617.97,1420,197.97,Success
TXN000022,2026-09-26,20260926,M027,CUST0497,P021,C002,PAY004,Debit Card,,1,11662.64,933.01,10729.63,9100,1629.63,Success
TXN000023,2026-07-11,20260711,M019,CUST0409,P044,C019,PAY003,Credit Card,,1,1629.72,195.57,1434.15,1120,314.15,Success
TXN000024,2026-09-18,20260918,M004,CUST0443,P049,C004,PAY003,Credit Card,,1,17294.09,345.88,16948.21,13180,3768.21,Success
TXN000025,2026-06-04,20260604,M035,CUST0180,P018,C010,PAY003,Credit Card,,1,11101.21,222.02,10879.19,7660,3219.19,Success
TXN000026,2026-07-25,20260725,M017,CUST0448,P006,C017,PAY004,Debit Card,,4,155665.09,7783.25,147881.83,122760,25121.83,Success
TXN000027,2026-06-02,20260602,M075,CUST0253,P035,C025,PAY001,UPI,P2M,3,1084.21,0.0,1084.21,750,334.21,Success
TXN000028,2026-06-22,20260622,M072,CUST0402,P006,C022,PAY001,UPI,P2M,1,40350.56,2017.53,38333.03,30690,7643.03,Success
TXN000029,2026-08-23,20260823,M005,CUST0010,P029,C005,PAY001,UPI,P2M,3,6982.06,139.64,6842.42,5280,1562.42,Success
TXN000030,2026-07-02,20260702,M096,CUST0441,P037,C021,PAY005,Cash,,1,1313.89,105.11,1208.78,760,448.78,Success
TXN000031,2026-05-19,20260519,M086,CUST0455,P026,C011,PAY001,UPI,P2M,1,1749.81,0.0,1749.81,1420,329.81,Success
TXN000032,2026-07-04,20260704,M086,CUST0231,P001,C011,PAY001,UPI,P2M,2,33724.92,1686.25,32038.68,27480,4558.68,Success
TXN000033,2026-08-07,20260807,M099,CUST0475,P023,C024,PAY004,Debit Card,,1,3899.6,77.99,3821.61,2660,1161.61,Success
TXN000034,2026-05-04,20260504,M099,CUST0080,P017,C024,PAY004,Debit Card,,3,73116.16,1462.32,71653.83,54510,17143.83,Success
TXN000035,2026-08-02,20260802,M040,CUST0035,P011,C015,PAY001,UPI,P2M,2,8048.26,160.97,7887.29,5020,2867.29,Success
TXN000036,2026-06-08,20260608,M006,CUST0331,P007,C006,PAY004,Debit Card,,2,73147.49,3657.37,69490.12,58960,10530.12,Success
